Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
388;-;Vergo Enerji Sistemleri San. ve Tic. A.Ş.;2023;3.845.770.037;377;4.601.041.050;357;346;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Salihli Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.vergo.com.tr;Manisa;Salihli;Salihli OSB Mah. 307. Sok. No.13;(232) 8807080;(232) 8807090;info@vergo.com.tr;45300
389;194;Kipaş Kağıt Sanayi İşletmeleri A.Ş.;2023;3.842.808.071;378;3.946.647.050;409;398;-;-;-;6.297.363.865;152;144;7.998.980.370;237;227;-;-;-;-;-;-;24.351;368;362;1.063;226;214;Kahramanmaraş Ticaret ve Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.kipaskagit.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Karaziyaret Mah. Fatih Sultan Mehmet Cad. No.1/A;(344) 6292520;(344) 2363800;info@kipaskagit.com.tr;46080
390;226;Trinox Metal San. ve Tic. A.Ş.;2023;3.794.286.606;379;3.794.286.606;417;406;-;-;-;-;-;-;2.209.938.551;467;454;-;-;-;-;-;-;22.326;377;371;-;-;-;Çorlu Ticaret ve Sanayi Odası;-;-;100,00;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.trinoxmetal.com;Tekirdağ;Ergene;Karamehmet Mah. Avrupa Serbest Bölgesi Osman Şahin Bulvarı No.7;(282) 6911194;-;info@trinoxmetal.com;59930
391;486;Polisan Kansai Boya San. ve Tic. A.Ş.;2023;3.774.546.298;380;4.496.096.664;366;355;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;50,00;50,00;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.polisan.com.tr;Kocaeli;Dilovası;Demircilerosb Mah. Refik Baydur Cad. No.7/3 ;(262) 6796000;(216) 5788800;info@polisan.com.tr;41455
392;441;Teksan Jeneratör Elektrik San. ve Tic. A.Ş.;2023;3.770.769.673;381;6.568.710.008;263;252;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.teksan.com;İstanbul;Sancaktepe;Yenidoğan Mah. Edebali Cad. No.12 ;(216) 3120550;-;info@teksan.com;34791
393;498;Teksüt Süt Mamülleri San. ve Tic. A.Ş.;2023;3.767.630.544;382;3.924.980.810;410;399;532.389.384;434;421;921.876.573;453;440;1.933.309.757;483;470;237.141.602;314;304;328.239.655;438;427;9.840;416;409;687;314;301;Balıkesir Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.teksut.com;Balıkesir;Gönen;Hasanbey Mah. 12043 Sk. No.83;(266) 7621232;(266) 7621233;muhasebe@teksut.com;10900
394;276;Şirikçioğlu Mensucat San. ve Tic. A.Ş.;2023;3.766.771.640;383;4.991.079.892;333;322;-;-;-;-;-;-;12.169.822.883;152;144;-;-;-;-;-;-;-;-;-;2.113;106;96;Kahramanmaraş Ticaret ve Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.sirikcioglu.com.tr;Kahramanmaraş;Onikişubat;Vadi Mah. Batı Çevre Yolu No.132/A;(344) 2340000;(344) 2340001;info@sirikcioglu.com.tr;46050
395;340;ADM Besin ve Tarım A.Ş.;2023;3.761.851.251;384;11.904.713.709;134;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Adana Sanayi Odası;-;-;100,00;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.amylum.com;Adana;Sarıçam;Hacı Sabancı Organize Sanayi Bölgesi 5 Ocak Cad. No.2;(322) 3554033;(322) 3554085;turkiye@adm.com;01350
396;435;Şık Makas Giyim San. ve Tic. A.Ş.;2023;3.759.127.255;385;4.075.569.857;397;386;1.655.380.129;224;213;1.186.016.288;423;410;5.262.633.108;317;304;19.563.172;393;382;694.561.709;346;335;152.139;138;135;5.085;27;24;İstanbul Sanayi Odası;-;100,00;-;-;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.crossjeans.com;İstanbul;Bağcılar;15 Temmuz Mah. 1507 Sok. No.5 ;(212) 5502929;(212) 5502930;muhasebe@crossjeans.com;34212
397;415;Göltaş Göller Bölgesi Çimento San. ve Tic. A.Ş.;2023;3.740.940.564;386;3.758.416.455;422;410;1.140.746.528;308;296;6.584.231.530;146;138;7.802.953.916;243;233;744.593.717;186;179;947.778.942;263;256;50.685;298;293;395;410;397;Isparta Ticaret ve Sanayi Odası;-;30,72;-;69,28;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.goltas.com.tr;İstanbul;Beşiktaş;Vişnezade Mah. Prof. Alaeddin Yavaşça Sok. Marmara Apt. No.4 D.2 ;(246) 2371451;(212) 3270080;goltas@goltas.com.tr;34357
398;339;Sersim Dayanıklı Tüketim Malları San. ve Tic. İbrahim Ustaoğlu Mehmet Ustaoğlu Koll. Şti.;2023;3.721.325.379;387;3.769.365.151;420;408;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kayseri Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.sersim.com.tr;Kayseri;Melikgazi;Anbar Serbest Bölgesi 12. Cad. No.17;(352) 6660313;-;info@sersim.com.tr;-
399;463;Türkiye Raylı Sistem Araçları Sanayii A.Ş.;2023;3.720.098.724;12;3.778.729.398;418;12;2.210.199.208;159;9;4.919.358.314;192;11;12.618.301.364;144;8;19.434.825;394;12;239.089.586;462;12;-;-;-;3.340;60;7;Kamu;100,00;-;-;-;Diğer ulaşım araçlarının imalatı;30;Taşıt Araçları Sanayi;384;www.turasas.gov.tr;Ankara;Çankaya;Oğuzlar Mah. Ceyhun Atuf Kansu Cad. No.61/1  Balgat;(312) 2029000;-;maliisler@turasas.gov.tr;06520
400;436;Legrand Elektrik Sanayi A.Ş.;2023;3.709.272.132;388;4.481.569.343;368;357;-;-;-;1.842.062.882;373;360;3.067.691.554;426;413;-;-;-;-;-;-;117.111;187;184;674;318;305;Kocaeli Sanayi Odası;-;0,01;99,99;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.legrand.com.tr;Kocaeli;Gebze;Gebze Organize Sanayi Bölgesi İhsan Dede Cad. No.112;(262) 7511258;(262) 6489067;info.turkiye@legrand.com.tr;41480
401;-;Kula Yağ ve Emek Yem San. Tic. A.Ş.;2023;3.702.943.105;389;4.151.759.434;391;380;958.172.880;347;335;1.335.906.797;409;396;1.973.250.854;478;465;588.665.779;223;216;442.718.311;407;396;2.651;444;437;352;417;404;Balıkesir Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.kulayag.com.tr;Balıkesir;Altıeylül;Gümüşçeşme Mah. Faruk Kula Cad. No.173;(266) 2496800;(266) 2496801;kula@kulayag.com.tr;10040
402;292;Düzce Cam San. ve Tic. A.Ş.;2023;3.698.186.129;390;3.873.661.953;413;402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Cam ve Camdan Mamul Eşya Sanayi;362;www.duzcecam.com.tr;İstanbul;Kağıthane;Çağlayan Mah. Şair Sok. No.4/4-D;(212) 3212451;(212) 3210001;muhasebe@duzcecam.com.tr;34410
403;318;Frimpeks Kimya ve Etiket San. Tic. A.Ş.;2023;3.695.408.737;391;3.706.283.860;424;412;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.frimpeks.com;İstanbul;Sarıyer;Ahi Evran Cad. Polaris Plaza No.21 K.12 Maslak;(212) 8671000;(212) 8671083;info@frimpeks.com;34485
404;-;Seksüt Endüstrisi Kurumu A.Ş.;2023;3.682.300.515;392;3.985.481.174;404;393;629.252.178;420;407;-;-;-;-;-;-;462.839.953;250;241;-;-;-;-;-;-;-;-;-;Mustafakemalpaşa Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.sek.com.tr;İstanbul;Ataşehir;Barbaros Mah. Yeşilçim Sok. No.15-1;(216) 3174977;(530) 6695750;muhasebe@seksut.com.tr;34634
405;444;Ferro Döküm San. ve Dış Tic. A.Ş.;2023;3.682.248.156;393;3.725.992.768;423;411;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66.702;269;265;821;284;271;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.ferrodokum.com.tr;İstanbul;Eyüpsultan;Güzeltepe Mah. Fatih Sultan Mehmet Bulvarı No.17 ;(262) 6534260;-;muhasebe.ferro@ferrodokum.com.tr;34060
406;373;Boyçelik Metal San. ve Tic. A.Ş.;2023;3.656.098.835;394;3.681.102.181;428;416;-;-;-;2.167.892.227;345;332;2.877.498.558;437;424;-;-;-;-;-;-;35.968;334;329;518;369;356;Kayseri Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.boycelik.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 37. Cad. No.4;(352) 3221530;-;boycelik@boycelik.com.tr;38070
407;385;Samet Kalıp ve Madeni Eşya San. ve Tic. A.Ş.;2023;3.611.693.851;395;3.795.129.438;416;405;1.777.598.604;211;200;2.823.458.227;297;284;7.073.634.789;260;249;365.822.901;276;267;639.163.009;360;349;25.065;367;361;1.031;234;222;İstanbul Sanayi Odası;-;100,00;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.samet.com.tr;İstanbul;Esenyurt;Atatürk Mah. Adnan Menderes Cad. No.8 Kıraç;(212) 8867523;(212) 8867526;info@samet.com.tr;34513
408;-;-;2023;-;396;-;325;314;-;273;261;-;273;260;-;388;375;-;185;178;-;279;271;-;328;323;-;344;331;İstanbul Sanayi Odası;-;10,00;90,00;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;-;-;-;-;-;-;-;-
409;-;Esen Plastik San. ve Tic. A.Ş.;2023;3.585.888.850;397;3.810.819.682;415;404;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Kauçuk ve plastik ürünlerin imalatı;22;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356;www.esenplastik.com.tr;İzmir;Menemen;Atatürk Plastik Organize Sanayi Bölgesi Mah. 2 Cad. No.1-3;(232) 3767011;-;esen@esen.com;35660
410;389;Kalibre Boru San. ve Tic. A.Ş.;2023;3.575.524.469;398;3.669.210.602;430;418;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49.317;303;298;775;288;275;Kocaeli Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.kalibreboru.com;Kocaeli;İzmit;Sanayi Mah. Yankı Sok. No.32;(262) 3350784;(262) 3166635;info@kalibreboru.com;41000
411;376;Termo Teknik Tic. ve San. A.Ş.;2023;3.574.967.552;399;3.622.901.963;435;423;1.080.408.741;324;312;2.208.288.691;338;325;3.267.153.019;418;405;857.668.292;170;163;844.034.439;298;289;130.763;159;156;773;290;277;İstanbul Sanayi Odası;-;-;100,00;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.termoteknik.com;İstanbul;Sarıyer;Reşitpaşa Mah. Eski Büyükdere Cad. Park Plaza No.14 Kat-7 Maslak;(212) 4444332;-;info@termoteknik.com;34467
412;481;Yılmaz Redüktör San. ve Tic. A.Ş.;2023;3.570.474.023;400;3.673.789.663;429;417;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.yr.com.tr;İstanbul;Esenyurt;Atatürk Mah. Lozan Cad. No.17;(212) 5679382;(212) 8869000;yilmaz@yr.com.tr;34522
413;425;Erdem Soft Tekstil A.Ş.;2023;3.566.868.075;401;3.600.447.537;437;425;-;-;-;-;-;-;5.868.650.769;296;284;-;-;-;-;-;-;32.815;343;338;890;266;253;Gaziantep Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.erdemsofttextile.com;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi Lütfullah Bilgin Bulvarı No.13 Başpınar;(342) 3379142;(342) 3379143;info@erdemsofttextile.com;27600
414;479;Uludağ İçecek Türk A.Ş.;2023;3.565.885.283;402;3.565.885.283;441;429;-;-;-;2.661.250.641;308;295;5.419.951.413;311;299;-;-;-;-;-;-;40.910;324;319;603;342;329;Bursa Ticaret ve Sanayi Odası;-;100,00;-;-;İçeceklerin imalatı;11;İçki Sanayi (Alkollü ve Alkolsüz);313;www.uludagicecek.com.tr;Bursa;Osmangazi;Doğanevler Mah. 3. Pazar Sok. No.115;(224) 7381600;(224) 7381500;icecek@uludagicecek.com.tr;16255
415;491;Dimes Gıda San. ve Tic. A.Ş.;2023;3.557.754.296;403;3.686.229.764;426;414;861.542.253;377;365;802.206.544;468;455;3.192.158.616;420;407;195.073.082;329;319;385.378.021;423;412;12.040;411;405;600;343;330;Tokat Ticaret ve Sanayi Odası;-;100,00;-;-;İçeceklerin imalatı;11;İçki Sanayi (Alkollü ve Alkolsüz);313;www.dimes.com.tr;Tokat;Merkez;Taşlıçiftlik Köyü Merkez Mevkii Vali Zekai Gümüşdış Bulvarı No.208;(356) 2149160;(216) 4997406;dimes@diren.com;60100
416;332;İmbat Madencilik Enerji Turizm San. ve Tic. A.Ş.;2023;3.553.997.770;404;4.049.927.771;399;388;3.364.088.177;105;98;3.639.523.417;246;233;4.296.973.043;364;351;644.013.375;206;199;925.521.082;267;259;-;-;-;4.920;28;25;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Kömür ve linyit çıkartılması;05;"Madencilik ve Taşocakçılığı
";210;www.imbatmadencilik.com;İzmir;Konak;Atatürk Cad. No.378/1 D.101-201 Alsancak;(232) 4641573;(232) 4640233;imbat@imbatmaden.com;35220
417;480;Öztiryakiler Madeni Eşya San. ve Tic. A.Ş.;2023;3.540.040.844;405;4.153.488.501;390;379;1.534.309.184;242;231;2.865.935.773;292;279;4.990.949.828;330;317;313.165.417;291;281;777.518.648;316;306;67.514;267;263;1.612;145;134;İstanbul Sanayi Odası;-;49,00;51,00;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.oztiryakiler.com.tr;İstanbul;Büyükçekmece;Cumhuriyet Mah. Eski Hadımköy Yolu No.8;(212) 8867800;(212) 8867880;info@oztiryakiler.com.tr;34500
418;-;Fellow Enerji A.Ş.;2023;3.535.971.251;406;3.765.794.082;421;409;423.651.288;452;439;742.921.676;471;458;1.849.735.451;487;474;195.272.398;328;318;336.042.354;435;424;97.388;214;211;342;423;410;Gaziantep Sanayi Odası;-;25,00;75,00;-;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.fellowsolarenergy.com;Gaziantep;Şehitkamil;Başpınar 2. Organize Sanayi Bölgesi 83221 Nolu Cad. No.28;(342) 5027995;(342) 5027995;finance@fellowenerji.com;27500
419;419;Form Sünger ve Yatak San. Tic. A.Ş.;2023;3.506.671.127;407;3.634.886.133;433;421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31.008;350;345;-;-;-;Kayseri Sanayi Odası;-;100,00;-;-;Kauçuk ve plastik ürünlerin imalatı;22;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356;www.formsunger.com.tr;Kayseri;Melikgazi;1. Organize Sanayi Bölgesi 8. Cad. No.60 ;(352) 3221020;-;info@formsunger.com.tr;38070
420;462;Ulusoy Elektrik İmalat Taahhüt ve Ticaret A.Ş.;2023;3.480.350.452;408;3.480.350.452;447;435;-;-;-;853.910.322;463;450;3.491.666.341;410;397;-;-;-;216.564.541;465;453;103.439;208;205;950;249;236;Ankara Sanayi Odası;-;-;93,69;6,31;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.ulusoyelektrik.com.tr;Ankara;Sincan;1. Organize Sanayi Bölgesi Oğuz Cad. No.6;(312) 2670712;(312) 2670713;ulusoy.kurumsal@eaton.com;06935
421;402;Norm Salihli Vida ve Cıvata Makine San. ve Tic. A.Ş.;2023;3.477.744.535;409;3.777.869.811;419;407;-;-;-;1.981.085.853;360;347;-;-;-;-;-;-;-;-;-;-;-;-;642;333;320;Salihli Ticaret ve Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.normfasteners.com;Manisa;Salihli;Salihli Organize Sanayi Bölgesi 304. Cad. No.8;(236) 7425061;-;info@normsalihli.com.tr;45340
422;488;Çekok Gıda San. ve Tic. A.Ş.;2023;3.475.881.275;410;3.903.522.637;411;400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.cekok.com.tr;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Poligon Cad. Bu Yaka Sitesi 2 3 Blok No.8C İç Kapı No.112;(850) 2105000;(850) 2105000;info@cekok.com.tr;34764
423;-;Korel Elektronik San. ve Tic. A.Ş.;2023;3.467.064.997;411;3.692.439.555;425;413;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35.285;336;331;1.596;146;135;Eskişehir Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.korel.com.tr;Eskişehir;Odunpazarı;75. Yıl OSB Mah. 14. Cad. No.18-20;(222) 2360826;(533) 7308422;muhasebe@korel.com.tr;26250
424;-;Samsun Yurt Savunma San. ve Tic. A.Ş.;2023;3.443.072.198;412;3.507.947.195;444;432;1.195.900.652;298;286;2.187.680.587;340;327;4.555.646.419;352;339;522.644.052;236;228;919.465.398;271;263;135.629;149;146;806;286;273;Samsun Ticaret ve Sanayi Odası;-;100,00;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.canik.com;Samsun;Tekkeköy;Şabanoğlu OSB Mah. Ulubatlı Cad. No.2B/B;(362) 2666671;(216) 4844270;info@canik.com;55330
425;-;İlhan Demir Çelik ve Boru Profil Endüstrisi A.Ş.;2023;3.430.623.975;413;3.586.038.685;438;426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22.900;375;369;-;-;-;Dörtyol Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.ilhandemircelik.com;Hatay;Dörtyol;Özerli Mah. Alparslan Türkeş Bulvarı No.339 ;(326) 7551951;(326) 7554186;muhasebe@ilhandemircelik.com;31600
426;328;Göymen Food Gıda San. ve Tic. A.Ş.;2023;3.430.190.855;414;4.041.110.593;401;390;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Gaziantep Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.goymen.com.tr;Gaziantep;Şehitkamil;Başpınar (Organize) OSB Mah. OSB 1. Bölge 83107 Nolu Cad. No.6;(342) 3372433;(507) 4523546;muhasebe@goymen.com.tr;27550
427;257;Kümaş Manyezit Sanayi A.Ş.;2023;3.413.303.036;415;3.414.782.954;451;439;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49.116;304;299;-;-;-;Kütahya Ticaret ve Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.kumasref.com;İstanbul;Ataşehir;Barbaros Mah. Kardelen Sok. Palladium Tower No.2/27;(274) 2250050;-;kumas@kumasref.com;-
428;-;Santa Farma İlaç Sanayii A.Ş.;2023;3.406.092.580;416;3.438.646.455;449;437;1.933.938.384;191;182;4.335.597.655;210;197;5.990.476.014;293;281;899.969.894;166;159;1.268.569.773;211;205;4.697;432;425;1.026;236;224;İstanbul Sanayi Odası;-;100,00;-;-;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21;Diğer Kimyasal Ürünler Sanayi;352;www.santafarma.com.tr;İstanbul;Şişli;Boruçiçeği Sok. No.16 Okmeydanı;(212) 2206400;(212) 2206400;info@santafarma.com.tr;34382
429;466;İzocam Tic. ve San. A.Ş.;2023;3.403.551.596;417;3.483.176.808;446;434;-;-;-;1.189.110.361;422;409;1.953.618.326;481;468;-;-;-;476.796.483;403;392;25.099;366;360;459;387;374;İstanbul Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Cam ve Camdan Mamul Eşya Sanayi;362;www.izocam.com.tr;İstanbul;Maltepe;Altayçeşme Mah. Çamlı Sok. Esas Ofispark No.21 Kat.4-5;(216) 4404050;(216) 4404060;izoposta@izocam.com.tr;34843
430;286;Gemlik Gübre Sanayii A.Ş.;2023;3.396.822.606;418;8.635.854.098;196;186;-552.199.985;494;481;7.259.748.192;137;130;19.583.623.105;97;91;-1.695.498.942;476;464;-549.760.138;497;485;22.084;378;372;648;328;315;Gemlik Ticaret ve Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.gemlikgubre.com.tr;Bursa;Gemlik;Ata Mah. Sanayi Cad.  No.6;(224) 5190070;-;info@gemlikgubre.com.tr;16600
431;321;Menderes Tekstil San. ve Tic. A.Ş.;2023;3.396.352.749;419;5.278.988.571;315;304;2.014.310.771;184;175;5.755.107.775;167;158;9.221.196.480;203;194;-555.497;405;393;1.439.313.730;184;179;75.514;255;251;2.526;86;77;Denizli Sanayi Odası;-;44,60;-;55,40;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.menderes.com;Denizli;Sarayköy;Cumhuriyet Mah. Yeni Sığma Asfatlı 15 Sok. No.1/12 ;(258) 4291212;(258) 4291213;menderes@menderes.com;20300
432;354;Koza Polyester San. ve Tic. A.Ş.;2023;3.392.201.014;420;4.208.941.624;387;376;600.121.446;424;411;1.411.472.994;400;387;3.881.366.350;386;373;241.423.211;308;298;630.948.010;362;351;1.687;449;442;290;446;433;Gaziantep Sanayi Odası;-;79,46;-;20,54;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.kozapolyester.com.tr;Gaziantep;Şehitkamil;Başpınar (Organize) OSB Mah. OSB 4. Bölge 83414 Cad. No.30;(342) 3372060;-;info@kozapolyester.com.tr;27500
433;490;Agrobest Grup Tarım İlaçları Tohumculuk İmalat İth. İhr. San. ve Tic. A.Ş.;2023;3.391.162.312;421;3.636.027.343;432;420;-;-;-;-;-;-;-;-;-;-;-;-;1.418.231.433;189;184;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.agrobestgrup.com;İzmir;Kemalpaşa;Kemalpaşa OSB Mah. Kazım Karabekir Cad. No.61;(232) 8771770;-;muhasebe@agrobestgrup.com;35735
434;443;Atom Kablo San. ve Tic. A.Ş.;2023;3.387.617.598;422;3.408.373.216;453;441;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139.992;146;143;-;-;-;Denizli Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.atom.com.tr;Denizli;Pamukkale;Akhan Mah. 238. Sok. No.4;(216) 4670440;(216) 4670441;atom@atom.com.tr;20155
435;-;Özgüven Kablo San. ve Tic. Ltd. Şti.;2023;3.387.569.334;423;3.387.656.578;455;443;108.769.153;482;469;207.227.982;490;477;568.044.292;500;487;76.944.641;376;366;88.311.488;483;471;135.781;148;145;-;-;-;Denizli Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.ozguven.com.tr;Denizli;Merkezefendi;Hacıeyüplü Mah. 3163 Sok. No.2;(258) 3719831;(258) 3719832;ozguven@ozguven.com.tr;20050
436;421;Üntel Kabloları San. ve Tic. A.Ş.;2023;3.383.696.939;424;3.392.018.261;454;442;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.untel.com.tr;Kocaeli;Dilovası;Demirciler Köyü Makine Organize Sanayi Bölgesi 6. Cad. No.4;(262) 7229330;-;muhasebe@untel.com.tr;41455
